"LANDING_YEAR","AGENCY_CODE","MANAGEMENT_GROUP_CODE","COMPLEX","PACFIN_SPECIES_COMMON_NAME","PACFIN_SPECIES_CODE","CCA_ROUND_WEIGHT_MTONS","CCA_ROUND_WEIGHT_PPP","CCA_EXVESSEL_REVENUE","CCA_CONFIDENTIAL_FLAG","ERA_ROUND_WEIGHT_MTONS","ERA_ROUND_WEIGHT_PPP","ERA_EXVESSEL_REVENUE","ERA_CONFIDENTIAL_FLAG","BGA_ROUND_WEIGHT_MTONS","BGA_ROUND_WEIGHT_PPP","BGA_EXVESSEL_REVENUE","BGA_CONFIDENTIAL_FLAG","BDA_ROUND_WEIGHT_MTONS","BDA_ROUND_WEIGHT_PPP","BDA_EXVESSEL_REVENUE","BDA_CONFIDENTIAL_FLAG","SFA_ROUND_WEIGHT_MTONS","SFA_ROUND_WEIGHT_PPP","SFA_EXVESSEL_REVENUE","SFA_CONFIDENTIAL_FLAG","MNA_ROUND_WEIGHT_MTONS","MNA_ROUND_WEIGHT_PPP","MNA_EXVESSEL_REVENUE","MNA_CONFIDENTIAL_FLAG","MRA_ROUND_WEIGHT_MTONS","MRA_ROUND_WEIGHT_PPP","MRA_EXVESSEL_REVENUE","MRA_CONFIDENTIAL_FLAG","SBA_ROUND_WEIGHT_MTONS","SBA_ROUND_WEIGHT_PPP","SBA_EXVESSEL_REVENUE","SBA_CONFIDENTIAL_FLAG","LAA_ROUND_WEIGHT_MTONS","LAA_ROUND_WEIGHT_PPP","LAA_EXVESSEL_REVENUE","LAA_CONFIDENTIAL_FLAG","SDA_ROUND_WEIGHT_MTONS","SDA_ROUND_WEIGHT_PPP","SDA_EXVESSEL_REVENUE","SDA_CONFIDENTIAL_FLAG","CA2_ROUND_WEIGHT_MTONS","CA2_ROUND_WEIGHT_PPP","CA2_EXVESSEL_REVENUE","CA2_CONFIDENTIAL_FLAG","TOTAL_ROUND_WEIGHT_MTONS","TOTAL_ROUND_WEIGHT_PPP","TOTAL_EXVESSEL_REVENUE","TOTAL_CONFIDENTIAL_FLAG"
"1981","C","GRND","FLAT","REX SOLE","REX",,,,"",,,,"",,,,"",,,,"",.2,.56,194,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",.2,,194,""
"1981","C","GRND","FLAT","NOM. REX SOLE","REX1",137.1,.33,100376,"",341.6,.33,250621,"",76.4,.34,57746,"",22.2,.34,16784,"",115,.35,87838,"",25.5,.34,18877,"",64.7,.34,47885,"",1.2,.35,878,"",,,,"",,,,"*",,,,"",783.7,,581005,"*"
"1981","C","GRND","FLAT","NOM. ROCK SOLE","RSL1",,,,"",,,,"*",,,,"",,,,"*",3.3,.36,2597,"",,,,"",.2,.2,73,"",,,,"",,,,"",,,,"",,,,"",3.5,,2670,"*"
"1981","C","GRND","FLAT","NOM. STARRY FLOUNDER","SFL1",,,,"",,,,"",,,,"",,,,"",,,,"*",,,,"*",,,,"*",,,,"*",,,,"*",,,,"",,,,"",0,,0,"*"
"1981","C","GRND","FLAT","NOM. SAND SOLE","SSO1",39,.46,39190,"",12.8,.47,13131,"",1.1,.44,1116,"",4.3,.45,4279,"",136,.46,136765,"",2.2,.29,1359,"",4.1,.37,3376,"",,,,"*",,,,"",,,,"*",,,,"",199.5,,199216,"*"
"1981","C","GRND","FLAT","UNSP. SANDDABS","UDAB",50.4,.33,36921,"",91.9,.33,66451,"",11.2,.34,8363,"",8.3,.34,6229,"",199.8,.34,150579,"",60.2,.31,41194,"",3.6,.25,1941,"",,,,"*",.5,1.23,1443,"",.7,.84,1333,"",,,,"",426.6,,314454,"*"
"1981","C","GRND","FLAT","UNSP. FLATFISH","UFLT",15.7,.27,9504,"",55.9,.27,33416,"",.8,.16,292,"",28.9,.27,17270,"",152.8,.27,92348,"",20.4,.42,18668,"",25.7,.35,20023,"",3.9,.31,2731,"",.2,.6,301,"",.2,.51,203,"",,,,"",304.5,,194756,""
"1981","C","GRND","FLAT","UNSP. TURBOTS","UTRB",,,,"*",5.2,.39,4533,"",,,,"*",.3,.43,276,"",.9,.47,881,"",2.9,.18,1115,"",5.7,.19,2351,"",0,.31,34,"",,,,"",,,,"",,,,"",15,,9190,"*"
"1981","C","GRND","MGRN","SPINY DOGFISH","DSRK",,,,"",,,,"*",,,,"",,,,"",.3,.25,179,"",,,,"*",,,,"*",4.2,.14,1253,"",,,,"*",,,,"*",,,,"",4.5,,1432,"*"
"1981","C","GRND","MGRN","UNSP. GRENADIERS","GRDR",,,,"*",,,,"*",,,,"*",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",0,,0,"*"
"1981","C","GRND","MGRN","LEOPARD SHARK","LSRK",,,,"",,,,"*",,,,"",5.3,.28,3305,"",8.4,.21,3845,"",,,,"*",2,.5,2160,"",3.5,.63,4904,"",3.5,.68,5183,"",1.9,.67,2820,"",,,,"",24.6,,22217,"*"
"1981","C","GRND","MGRN","SOUPFIN SHARK","SSRK",1.9,.28,1168,"",.6,.52,725,"",2.6,.34,1974,"",3.6,.4,3145,"",27.3,.34,20574,"",2,.31,1397,"",10.3,.49,11213,"",23,.59,30204,"",19.7,.6,26257,"",34.8,.65,49726,"",,,,"",125.8,,146383,""
"1981","C","GRND","MGRN","UNSP. SKATE","USKT",79.9,.06,10605,"",212.3,.07,34118,"",20.4,.08,3555,"",2,.06,273,"",55.3,.08,9270,"",63.6,.08,11324,"",12.3,.08,2287,"",12.2,.09,2431,"",.9,.17,346,"",,,,"",,,,"*",458.9,,74209,"*"
"1981","C","GRND","ROCK","AURORA ROCKFISH","ARRA",,,,"",5,.17,1868,"",,,,"",,,,"",,,,"",0,.45,26,"",,,,"",,,,"",0,.44,38,"",,,,"",,,,"",5,,1932,""
"1981","C","GRND","ROCK","BANK ROCKFISH","BANK",,,,"",,,,"",204,.16,70103,"",,,,"",,,,"",358.6,.19,149896,"",159.1,.21,72562,"",50.9,.38,42910,"",76.7,.46,77083,"",274.3,.45,271412,"",,,,"",1123.6,,683966,""
"1981","C","GRND","ROCK","BOCACCIO","BCAC",,,,"",772.4,.13,219826,"",880.4,.17,325630,"",511.2,.17,188288,"",454.5,.2,202250,"",774.3,.18,311205,"",617.3,.22,299000,"",125.8,.46,127266,"",189.5,.47,195973,"",73.5,.45,72711,"",,,,"",4398.9,,1942149,""
"1981","C","GRND","ROCK","NOM. BOCACCIO","BCC1",,,,"",,,,"*",,,,"",,,,"*",16.5,.3,10905,"",134.4,.22,63849,"",24.2,.23,12421,"",23.3,.21,10921,"",,,,"*",,,,"",,,,"",198.4,,98096,"*"
"1981","C","GRND","ROCK","NOM. BLACKGILL ROCKFISH","BGL1",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"*",,,,"",,,,"",,,,"",,,,"",0,,0,"*"
"1981","C","GRND","ROCK","BLACK ROCKFISH","BLCK",,,,"",446.2,.13,131887,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",1.9,.55,2333,"",,,,"",,,,"",448.1,,134220,""
"1981","C","GRND","ROCK","BLACKGILL ROCKFISH","BLGL",,,,"",,,,"",4.1,.16,1421,"",,,,"",75,.22,36413,"",3.7,.29,2377,"",10.4,.38,8669,"",30,.61,40569,"",119.8,.52,136805,"",241.4,.49,258612,"",,,,"",484.4,,484866,""
"1981","C","GRND","ROCK","NOM. BLACK ROCKFISH","BLK1",16.1,.25,8977,"",2.9,.42,2694,"",.6,.48,681,"",,,,"*",3.1,.23,1562,"",2.1,.27,1291,"",,,,"*",,,,"*",,,,"",,,,"",,,,"",24.8,,15205,"*"
"1981","C","GRND","ROCK","NOM. BLUE ROCKFISH","BLU1",,,,"",,,,"",,,,"*",,,,"*",.3,.67,391,"",34.9,.32,24728,"",4.7,.19,1956,"",,,,"*",,,,"",,,,"",,,,"",39.9,,27075,"*"
"1981","C","GRND","ROCK","BLUE ROCKFISH","BLUR",,,,"",,,,"",,,,"",1.3,.17,476,"",24.9,.17,9311,"",,,,"",.8,.44,789,"",.9,.59,1207,"",.7,.51,829,"",.4,.45,442,"",,,,"",29,,13054,""
"1981","C","GRND","ROCK","BRONZESPOTTED ROCKFISH","BRNZ",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",16,.62,21983,"",52.4,.52,60200,"",8.5,.45,8451,"",,,,"",76.9,,90634,""
"1981","C","GRND","ROCK","NOM. BROWN ROCKFISH","BRW1",,,,"*",,,,"*",4.6,.2,2069,"",1.8,.34,1339,"",8.1,.98,17563,"",2.4,.67,3498,"",40.8,.34,30312,"",,,,"",,,,"",,,,"",,,,"",57.7,,54781,"*"
"1981","C","GRND","ROCK","BROWN ROCKFISH","BRWN",,,,"",,,,"",1.3,.17,496,"",,,,"",,,,"",,,,"",,,,"",.1,.44,141,"",.7,.48,727,"",.2,.45,190,"",,,,"",2.3,,1554,""
"1981","C","GRND","ROCK","BLACK AND YELLOW ROCKFISH","BYEL",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",.1,.45,63,"",,,,"",.1,,63,""
"1981","C","GRND","ROCK","NOM. CHINA ROCKFISH","CHN1",2.6,.17,958,"",,,,"",,,,"",,,,"*",2.2,.28,1366,"",17,.29,10798,"",,,,"",,,,"",,,,"",,,,"",,,,"",21.8,,13122,"*"
"1981","C","GRND","ROCK","CHINA ROCKFISH","CHNA",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",0,.63,41,"",,,,"",,,,"",,,,"",0,,41,""
"1981","C","GRND","ROCK","NOM. CHILIPEPPER","CLP1",,,,"",,,,"",,,,"",,,,"",,,,"*",2.2,.31,1473,"",,,,"",,,,"",,,,"",,,,"",,,,"",2.2,,1473,"*"
"1981","C","GRND","ROCK","CHILIPEPPER ROCKFISH","CLPR",,,,"",107.1,.12,29243,"",606,.17,223921,"",36.3,.17,13253,"",829.2,.19,341578,"",396.4,.19,165025,"",360.1,.21,167987,"",30,.52,34151,"",68.2,.49,74156,"",22.7,.45,22389,"",,,,"",2456,,1071703,""
"1981","C","GRND","ROCK","CHAMELEON ROCKFISH","CMEL",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",4.4,.44,4285,"",3.4,.45,3423,"",,,,"",7.8,,7708,""
"1981","C","GRND","ROCK","CANARY ROCKFISH","CNRY",74.6,.22,36540,"",400.4,.15,129476,"",132.9,.2,57404,"",5.3,.66,7720,"",,,,"",5.8,.24,3112,"",54.7,.33,39673,"",6,.61,8052,"",4.4,.51,4972,"",.9,.45,884,"",,,,"",685,,287833,""
"1981","C","GRND","ROCK","NOM. COPPER ROCKFISH","COP1",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",1.8,.47,1805,"",,,,"",,,,"",,,,"",,,,"",1.8,,1805,""
"1981","C","GRND","ROCK","COPPER ROCKFISH","COPP",,,,"",,,,"",,,,"",,,,"",,,,"",.1,.57,94,"",7.5,.51,8424,"",4.1,.61,5578,"",,,,"",0,.55,50,"",,,,"",11.7,,14146,""
"1981","C","GRND","ROCK","NOM. COWCOD ROCKFISH","CWC1",,,,"",,,,"*",,,,"",,,,"",,,,"",.2,.3,158,"",1.9,.47,1925,"",,,,"*",,,,"",,,,"",,,,"",2.1,,2083,"*"
"1981","C","GRND","ROCK","COWCOD ROCKFISH","CWCD",,,,"",,,,"",8.7,.17,3236,"",,,,"",.4,.56,437,"",1,.55,1178,"",12.9,.39,10986,"",26.6,.51,29869,"",128.7,.5,141197,"",39.4,.45,39176,"",,,,"",217.7,,226079,""
"1981","C","GRND","ROCK","DARKBLOTCHED ROCKFISH","DBRK",340.1,.17,126764,"",108.6,.15,37017,"",68.5,.17,25483,"",.8,.66,1233,"",.2,.56,299,"",3.4,.19,1411,"",0,.28,10,"",,,,"",,,,"",,,,"",,,,"",521.6,,192217,""
"1981","C","GRND","ROCK","FLAG ROCKFISH","FLAG",,,,"",.2,.12,40,"",,,,"",,,,"",,,,"",.3,.57,327,"",.6,.45,618,"",1.5,.57,1856,"",9.1,.54,10887,"",.7,.46,720,"",,,,"",12.4,,14448,""
"1981","C","GRND","ROCK","NOM. FLAG ROCKFISH","FLG1",,,,"",,,,"",,,,"",,,,"*",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",0,,0,"*"
"1981","C","GRND","ROCK","GREENBLOTCHED ROCKFISH","GBLC",,,,"",,,,"",,,,"",,,,"",,,,"",.4,.57,472,"",3.6,.2,1567,"",2.2,.62,2960,"",25.2,.53,29436,"",1,.47,1023,"",,,,"",32.4,,35458,""
"1981","C","GRND","ROCK","NOM. GOPHER ROCKFISH","GPH1",,,,"",,,,"",,,,"",,,,"",,,,"*",24,.99,52337,"",28.6,.86,54386,"",,,,"",,,,"",,,,"",,,,"",52.6,,106723,"*"
"1981","C","GRND","ROCK","GOPHER ROCKFISH","GPHR",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",0,.63,41,"",,,,"",,,,"",,,,"",0,,41,""
"1981","C","GRND","ROCK","GRASS ROCKFISH","GRAS",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",.1,.63,82,"",,,,"",,,,"",,,,"",.1,,82,""
"1981","C","GRND","ROCK","NOM. GRASS ROCKFISH","GRS1",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"*",,,,"",,,,"",,,,"",,,,"",,,,"",0,,0,"*"
"1981","C","GRND","ROCK","GREENSPOTTED ROCKFISH","GSPT",3,.22,1462,"",80,.13,22112,"",46.1,.19,18829,"",.7,.31,495,"",9.8,.17,3661,"",3.4,.25,1854,"",39.7,.37,32328,"",59.2,.53,69332,"",24.9,.54,29829,"",2.3,.46,2349,"",,,,"",269.1,,182251,""
"1981","C","GRND","ROCK","GREENSTRIPED ROCKFISH","GSRK",3,.22,1462,"",1.2,.2,548,"",10.5,.19,4400,"",.2,.66,308,"",,,,"",.2,.54,292,"",.7,.37,573,"",1.6,.6,2147,"",1.5,.49,1607,"",.1,.46,76,"",,,,"",19,,11413,""
"1981","C","GRND","ROCK","HONEYCOMB ROCKFISH","HNYC",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",.2,.45,190,"",,,,"",.2,,190,""
"1981","C","GRND","ROCK","NOM. KELP ROCKFISH","KLP1",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"*",,,,"",,,,"",,,,"",,,,"",,,,"",0,,0,"*"
"1981","C","GRND","ROCK","LONGSPINE THORNYHEAD","LSPN",85.1,.23,42931,"",18.8,.23,9508,"",,,,"",.7,.22,334,"",2.9,.2,1296,"",1.3,.22,609,"",,,,"",,,,"",,,,"",.1,.45,63,"",,,,"",108.9,,54741,""
"1981","C","GRND","ROCK","MEXICAN ROCKFISH","MXRF",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",.1,.55,153,"",.6,.45,569,"",,,,"",.7,,722,""
"1981","C","GRND","ROCK","NOM. OLIVE ROCKFISH","OLV1",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"*",,,,"",,,,"",,,,"",,,,"",0,,0,"*"
"1981","C","GRND","ROCK","OLIVE ROCKFISH","OLVE",,,,"",,,,"",,,,"",,,,"",,,,"",0,.44,32,"",.2,.44,164,"",12.6,.59,16345,"",.3,.48,346,"",.4,.45,442,"",,,,"",13.5,,17329,""
"1981","C","GRND","ROCK","OTHER ROCKFISH","ORCK",.3,.24,171,"",1.1,.26,639,"",.1,.47,68,"",.1,.6,135,"",9.2,.53,10854,"",8.2,.35,6433,"",2.9,.51,3271,"",.7,.51,753,"",1.9,.58,2389,"",1.5,.46,1528,"",,,,"",26,,26241,""
"1981","C","GRND","ROCK","PINK ROCKFISH","PNKR",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",1.4,.48,1505,"",1,.45,1023,"",,,,"",2.4,,2528,""
"1981","C","GRND","ROCK","PACIFIC OCEAN PERCH","POP",,,,"",.6,.15,184,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",.6,,184,""
"1981","C","GRND","ROCK","PINKROSE ROCKFISH","PRRK",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",.1,.63,82,"",,,,"",,,,"",,,,"",.1,,82,""
"1981","C","GRND","ROCK","BOCACCIO+CHILIPEPPER RCKFSH","RCK1",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"*",,,,"",,,,"",,,,"",,,,"",,,,"",0,,0,"*"
"1981","C","GRND","ROCK","UNSP. DPWTR REDS RCKFSH","RCK3",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",1.5,.55,1800,"",,,,"",1.5,,1800,""
"1981","C","GRND","ROCK","UNSP. REDS RCKFSH","RCK4",,,,"",,,,"",,,,"*",,,,"",,,,"",,,,"*",,,,"",,,,"*",,,,"",,,,"",,,,"",0,,0,"*"
"1981","C","GRND","ROCK","UNSP. ROSEFISH RCKFSH","RCK6",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",1,.24,528,"",.1,.43,122,"",.1,.45,126,"",,,,"",1.2,,776,""
"1981","C","GRND","ROCK","REDBANDED ROCKFISH","RDBD",8.2,.17,3023,"",110.8,.13,32728,"",6.5,.16,2244,"",,,,"",,,,"",.6,.57,712,"",1.7,.3,1147,"",0,.4,41,"",.9,.44,842,"",.1,.45,63,"",,,,"",128.8,,40800,""
"1981","C","GRND","ROCK","REDSTRIPE ROCKFISH","REDS",,,,"",,,,"",.2,.15,68,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",.2,,68,""
"1981","C","GRND","ROCK","ROUGHEYE ROCKFISH","REYE",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",2,.44,1940,"",,,,"",,,,"",,,,"",,,,"",2,,1940,""
"1981","C","GRND","ROCK","ROSY ROCKFISH","ROSY",,,,"",,,,"",,,,"",,,,"",,,,"",0,.59,7,"",.1,.44,49,"",,,,"",.4,.54,446,"",.6,.45,632,"",,,,"",1.1,,1134,""
"1981","C","GRND","ROCK","NOM. SHORTBELLY ROCKFISH","SBL1",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"*",,,,"",,,,"",,,,"",,,,"",,,,"",0,,0,"*"
"1981","C","GRND","ROCK","SHORTBELLY ROCKFISH","SBLY",,,,"",,,,"",,,,"",,,,"",,,,"",0,.44,23,"",.1,.2,53,"",,,,"",,,,"",,,,"",,,,"",.1,,76,""
"1981","C","GRND","ROCK","NOM. CALIFORNIA SCORPIONFISH","SCR1",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"*",,,,"*",.1,.96,144,"",20.2,.82,36571,"",5.2,.85,9756,"",,,,"",25.5,,46471,"*"
"1981","C","GRND","ROCK","SILVERGRAY ROCKFISH","SLGR",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",.1,.63,165,"",,,,"",,,,"",,,,"",.1,,165,""
"1981","C","GRND","ROCK","SPLITNOSE ROCKFISH","SNOS",73.8,.17,27208,"",7.7,.12,2080,"",66.2,.2,29059,"",.4,.22,189,"",114.1,.22,55393,"",25.7,.21,11912,"",11.8,.22,5618,"",.7,.36,548,"",8.4,.44,8190,"",56.7,.45,56071,"",,,,"",365.5,,196268,""
"1981","C","GRND","ROCK","NOM. SPLITNOSE ROCKFISH","SNS1",,,,"",3.4,.13,975,"",3.2,.15,1035,"",,,,"",.9,.17,334,"",,,,"",,,,"*",,,,"",,,,"",,,,"",,,,"",7.5,,2344,"*"
"1981","C","GRND","ROCK","NOM. SPECKLED ROCKFISH","SPK1",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"*",,,,"",,,,"",,,,"",,,,"",,,,"",0,,0,"*"
"1981","C","GRND","ROCK","SPECKLED ROCKFISH","SPKL",,,,"",,,,"",,,,"",,,,"",,,,"",.1,.44,129,"",19,.27,11123,"",7.1,.51,8042,"",4.8,.55,5865,"",2.4,.45,2400,"",,,,"",33.4,,27559,""
"1981","C","GRND","ROCK","SQUARESPOT ROCKFISH","SQRS",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",.2,.55,204,"",.2,.45,190,"",,,,"",.4,,394,""
"1981","C","GRND","ROCK","SHORTSPINE THORNYHEAD","SSPN",123.8,.23,62447,"",865.8,.23,436862,"",367.9,.23,186426,"",36.6,.22,18096,"",140.8,.2,63482,"",62.8,.22,29884,"",10.8,.2,4770,"",.1,.23,65,"",,,,"*",.5,.45,455,"",,,,"",1609.1,,802487,"*"
"1981","C","GRND","ROCK","STARRY ROCKFISH","STAR",,,,"",,,,"",,,,"",,,,"",,,,"",0,.58,15,"",.8,.44,752,"",5,.6,6567,"",17,.55,20613,"",1.3,.48,1363,"",,,,"",24.1,,29310,""
